Marca temporal,¿Qué carrera(s) de la UTCH BIS cursas actualmente?,¿Con qúe frecuencia los maestros te entregan material de estudio complementario?,¿Qué tipo de material usan los maestros con mayor frecuencia?,¿Qué tan útiles o insuficientes consideras los materiales de estudio comerciales/institucionales usados por los maestros?,En tu experiencia ¿En qué habilidad se presentas mayor dificultad durante las clases de ingles?,En tu experiencia ¿El uso de presentaciones visuales facilita el entendimiento de los temas si te pierdes durante la clase?,¿Qué material complementario puede ayudarte a retener más información?,¿Consideras que contar con cuadernillos de actividades adicionales y organizadas por tema te ayudaría a reforzar los contenidos que se te dificultan? ,¿Consideras que no contar con materiales de aprendizaje adaptados a tu nivel de inglés afecta tu rendimiento o motivación en la clase? ,"Si se desarrollara un paquete de material de estudio  adaptado a tu nivel de inglés, ¿estarías dispuesto(a) a utilizarlo como apoyo para mejorar tu aprendizaje? "
7/7/2026 12:33:53,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Neutral,Writing,"Si, es un buen apoyo durante la clase",Infografías y esquemas visuales,Totalmente de acuerdo,Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 12:33:53,Procesos Industriales,Algunas veces,Guías de estudio,Neutral,Listening,"Si, es un buen apoyo durante la clase",Ejercicios prácticos estructurados (Guías escritas),Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:34:09,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,"Speaking, Listening, Writing, Reading",De vez en cuando me resultan utiles,Infografías y esquemas visuales,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:34:18,Mercadotecnía,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,"Grammar, Writing",De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:34:37,Mercadotecnía,Nunca,Resúmenes o infografías gramaticales,Útil,"Listening, Writing",De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:35:27,Desarrollo de Software,Algunas veces,"Presentaciones (power point, canva, etc)",Poco útil,Grammar,De vez en cuando me resultan utiles,Videos cortos explicativos,"Ni de acuerdo, ni en desacuerdo",No noto la diferencia.,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 12:35:28,Mercadotecnía,Siempre,"Presentaciones (power point, canva, etc)",Neutral,"Grammar, Speaking, Listening, Writing","No, las presentaciones no suelen ser de mucha ayuda",Ejercicios prácticos estructurados (Guías escritas),"Ni de acuerdo, ni en desacuerdo",No noto la diferencia.,"Sí, totalmente dispuesto"
7/7/2026 12:35:29,Mercadotecnía,Rara vez,Guías de estudio,Útil,"Grammar, Writing","Si, es un buen apoyo durante la clase",Ejercicios prácticos estructurados (Guías escritas),De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:35:46,Educación,Casi siempre,"Presentaciones (power point, canva, etc)",Neutral,"Listening, Reading",De vez en cuando me resultan utiles,Ejercicios prácticos estructurados (Guías escritas),Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:36:13,Educación,Algunas veces,"Presentaciones (power point, canva, etc)",Muy útil,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:36:21,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,"Grammar, Listening","Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:38:07,Mercadotecnía,Siempre,"Presentaciones (power point, canva, etc)",Útil,Speaking,De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,No me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:38:50,Educación,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,"Grammar, Writing","Si, es un buen apoyo durante la clase",Ejercicios prácticos estructurados (Guías escritas),Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:38:56,Educación,Nunca,Videos educativos / Enlaces interactivos,Útil,Listening,De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:39:02,Procesos Industriales,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,Grammar,"Si, es un buen apoyo durante la clase",Videos cortos explicativos,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:41:53,Educación,Siempre,Resúmenes o infografías gramaticales,Muy útil,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,No me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:41:55,Desarrollo de Software,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:45:56,Educación,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:47:59,Mercadotecnía,Siempre,"Presentaciones (power point, canva, etc)",Muy útil,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:48:14,Mercadotecnía,Algunas veces,"Presentaciones (power point, canva, etc)",Muy útil,Writing,"Si, es un buen apoyo durante la clase",Videos cortos explicativos,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:48:38,Desarrollo de Software,Siempre,"Presentaciones (power point, canva, etc)",Muy útil,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:52:28,Desarrollo de Software,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,Speaking,De vez en cuando me resultan utiles,Videos cortos explicativos,De acuerdo,No noto la diferencia.,"Sí, totalmente dispuesto"
7/7/2026 12:54:24,Procesos Industriales,Siempre,"Presentaciones (power point, canva, etc)",Muy útil,"Grammar, Speaking, Writing","Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",No me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:54:51,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Neutral,"Speaking, Listening",De vez en cuando me resultan utiles,Ejercicios prácticos estructurados (Guías escritas),De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 12:56:02,Mercadotecnía,Algunas veces,"Presentaciones (power point, canva, etc)",Útil,"Grammar, Listening","Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:00:22,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,"Speaking, Listening","Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 13:02:02,Mercadotecnía,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,Speaking,De vez en cuando me resultan utiles,Ejercicios prácticos estructurados (Guías escritas),De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:02:20,Desarrollo de Software,Siempre,"Presentaciones (power point, canva, etc)",Neutral,"Grammar, Speaking, Listening",De vez en cuando me resultan utiles,Videos cortos explicativos,De acuerdo,No noto la diferencia.,"Sí, totalmente dispuesto"
7/7/2026 13:04:27,Educación,Algunas veces,Videos educativos / Enlaces interactivos,Útil,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 13:07:10,Educación,Casi siempre,Guías de estudio,Neutral,Grammar,De vez en cuando me resultan utiles,Videos cortos explicativos,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:07:24,Procesos Industriales,Siempre,"Presentaciones (power point, canva, etc)",Neutral,Todos,"Si, es un buen apoyo durante la clase",Videos cortos explicativos,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:10:41,Procesos Industriales,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,"Speaking, Listening",De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",No me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 13:12:34,Mercadotecnía,Algunas veces,"Presentaciones (power point, canva, etc)",Útil,Speaking,De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:12:52,Procesos Industriales,Algunas veces,"Presentaciones (power point, canva, etc)",Útil,Speaking,"Si, es un buen apoyo durante la clase",Videos cortos explicativos,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:12:57,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,Listening,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 13:14:16,Desarrollo de Software,Rara vez,"Presentaciones (power point, canva, etc)",Poco útil,Reading,De vez en cuando me resultan utiles,Ejercicios prácticos estructurados (Guías escritas),Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:14:20,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:14:38,Desarrollo de Software,Algunas veces,Cuestionarios,Neutral,Reading,"No, las presentaciones no suelen ser de mucha ayuda",Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",No me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 13:16:50,Mercadotecnía,Nunca,"Presentaciones (power point, canva, etc)",Neutral,"Grammar, Listening",De vez en cuando me resultan utiles,Infografías y esquemas visuales,Totalmente de acuerdo,Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 13:19:07,Desarrollo de Software,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,"Speaking, Listening, Reading",De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:20:29,Procesos Industriales,Nunca,"Presentaciones (power point, canva, etc)",Neutral,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 13:26:10,Procesos Industriales,Rara vez,"Presentaciones (power point, canva, etc)",Neutral,Speaking,De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:29:11,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Neutral,"Grammar, Speaking, Listening",De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 13:34:56,Procesos Industriales,Siempre,"Presentaciones (power point, canva, etc)",Muy útil,"Grammar, Listening",De vez en cuando me resultan utiles,Ejercicios prácticos estructurados (Guías escritas),Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:43:11,Mercadotecnía,Casi siempre,Videos educativos / Enlaces interactivos,Neutral,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:45:15,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Muy útil,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:46:32,Mercadotecnía,Rara vez,"Presentaciones (power point, canva, etc)",Poco útil,"Writing, Reading",De vez en cuando me resultan utiles,Videos cortos explicativos,Totalmente de acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:52:02,Desarrollo de Software,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,Listening,"Si, es un buen apoyo durante la clase",Ejercicios prácticos estructurados (Guías escritas),De acuerdo,No me afecta,"Sí, totalmente dispuesto"
7/7/2026 13:57:01,Desarrollo de Software,Rara vez,Videos educativos / Enlaces interactivos,Poco útil,Speaking,De vez en cuando me resultan utiles,Ejercicios prácticos estructurados (Guías escritas),"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 14:27:22,Procesos Industriales,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,Writing,"Si, es un buen apoyo durante la clase",Ejercicios prácticos estructurados (Guías escritas),De acuerdo,Si me afecta,"Sí, totalmente dispuesto"
7/7/2026 14:40:41,Mercadotecnía,Rara vez,"Presentaciones (power point, canva, etc)",Neutral,Reading,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,De acuerdo,No noto la diferencia.,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 15:19:09,Mercadotecnía,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,Grammar,De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,No me afecta,"Sí, totalmente dispuesto"
7/7/2026 15:28:36,Desarrollo de Software,Algunas veces,"Presentaciones (power point, canva, etc)",Poco útil,"Speaking, Writing","Si, es un buen apoyo durante la clase",Videos cortos explicativos,"Ni de acuerdo, ni en desacuerdo",No me afecta,"Sí, totalmente dispuesto"
7/7/2026 16:12:40,Mercadotecnía,Algunas veces,Videos educativos / Enlaces interactivos,Útil,Speaking,"Si, es un buen apoyo durante la clase",Videos cortos explicativos,"Ni de acuerdo, ni en desacuerdo",No noto la diferencia.,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 16:55:02,Mercadotecnía,Siempre,"Presentaciones (power point, canva, etc)",Útil,Ninguno,De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,De acuerdo,Si me afecta,No lo considero necesario
7/7/2026 17:54:30,Desarrollo de Software,Siempre,"Presentaciones (power point, canva, etc)",Útil,"Grammar, Reading","Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 17:59:10,Desarrollo de Software,Algunas veces,"Presentaciones (power point, canva, etc)",Neutral,"Grammar, Speaking, Listening, Writing, Reading",De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,No me afecta,"Sí, totalmente dispuesto"
7/7/2026 18:39:20,Mercadotecnía,Algunas veces,"Presentaciones (power point, canva, etc)",Poco útil,Listening,De vez en cuando me resultan utiles,Videos cortos explicativos,"Ni de acuerdo, ni en desacuerdo",Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 18:53:23,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,Speaking,"Si, es un buen apoyo durante la clase",Juegos dinámicos o actividades interactivas,Totalmente de acuerdo,Si me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 19:05:11,Desarrollo de Software,Casi siempre,Guías de estudio,Neutral,Listening,De vez en cuando me resultan utiles,Juegos dinámicos o actividades interactivas,"Ni de acuerdo, ni en desacuerdo",No me afecta,"Tal vez, dependiendo de la facilidad de uso del material"
7/7/2026 21:20:56,Mercadotecnía,Casi siempre,"Presentaciones (power point, canva, etc)",Útil,Listening,De vez en cuando me resultan utiles,Videos cortos explicativos,De acuerdo,No noto la diferencia.,"Tal vez, dependiendo de la facilidad de uso del material"
